conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1942835831783538694,Thu Jul 10 07:32:54 +0000 2025,0,@arifbalikpapan1 Sebenarnya ini masalah yang mudah di buktikan palsu atau asli tapi dengan seribu satu alasan yang tidak masuk akal maka urusan ini akan trus menjadi polemik karena Jokowi &amp; Kuasa Hukumnya akan trus berdalil untuk tidak mau memperlihatkan Ijazah. Ada apa dengan ijazah itu ??,1943211815649063102,,arifbalikpapan1,in,,0,1,0,https://x.com/undefined/status/1943211815649063102,1873302486074953728,
1942598970049716650,Thu Jul 10 07:32:48 +0000 2025,0,@neVerAl0nely_ Jika ijazah jokowi palsu apa urusannya dgn UGM???,1943211790814597191,,neVerAl0nely_,in,,0,0,0,https://x.com/undefined/status/1943211790814597191,1712376901535514624,
1943160069581164787,Thu Jul 10 07:32:44 +0000 2025,0,@PoltakSitinja18 @DokterTifa Biasa aja Bro @PoltakSitinja18 Sewot amat Hanya skedar tanya IJAZAH wajar Rakyat Menanyakan Pejabat yg makan gaji dari pajak rakyat Sekali ber OBAMA presiden AS ditanya Akte Kelahiran aja di Kasih lihat ke publik itu Presiden Negara Adikuasa loh ini Jokodok pke alesan HAM,1943211771118141770,,PoltakSitinja18,in,,0,0,0,https://x.com/undefined/status/1943211771118141770,74839650,
1942906578887463337,Thu Jul 10 07:32:05 +0000 2025,0,@tempodotco Ijazah juga diusut tuntas.??,1943211611000573982,,tempodotco,in,,0,0,0,https://x.com/undefined/status/1943211611000573982,2562230414,
1942882553586999528,Thu Jul 10 07:31:56 +0000 2025,0,@DianSandiU La km yg uplod ijazah palsu,1943211573448970645,,DianSandiU,in,,0,0,0,https://x.com/undefined/status/1943211573448970645,1431235359107477504,
1943124878602961307,Thu Jul 10 07:31:07 +0000 2025,0,@Teman_Lama2000 @DokterTifa Hanya penjara konsekwensi bagi penuduh Ijazah Palsu ,1943211364379693395,,Teman_Lama2000,in,,0,0,0,https://x.com/undefined/status/1943211364379693395,1539753707726053376,
1943211259912147445,Thu Jul 10 07:30:42 +0000 2025,0,Bosan isu itu foang. Tdk ada urgennya dgn masalah rkyt. Coba kritisi masalah phk sembako mahal bagainana kesehatan bisa gratis kuliah bisa gratis. Isu ijazah hanya menghabiskan energi bangsa.,1943211259912147445,,,in,,0,0,0,https://x.com/undefined/status/1943211259912147445,1383301453528244224,
1943211021881217321,Thu Jul 10 07:29:45 +0000 2025,0,Polri Diminta Segera Umumkan Hasil Gelar Perkara Khusus Ijazah Jokowi https://t.co/VBl1FwQQaq,1943211021881217321,,,in,,0,0,0,https://x.com/undefined/status/1943211021881217321,1012174601055449088,
1943210978851852430,Thu Jul 10 07:29:36 +0000 2025,0, Syarat dokumen saat daftar langsung: FC KTP FC KK FC Ijazah terakhir Sertifikat pelatihan teknik (khusus SMA/SMK non-teknik) Pas foto 3x4 &amp; 4x6 Tempat Daftar: R. Pelayanan Publik Gedung A Lt. 1 Disnakertrans Provinsi JaTeng Jl. Pahlawan No. 16 Semarang,1943210984182813115,,lpplsuaraserasi,in,,0,1,0,https://x.com/undefined/status/1943210984182813115,1548944547090030592,
1942743000154792120,Thu Jul 10 07:29:07 +0000 2025,0,@democrazymedia Ada misteri besar di balik ijazah palsu tentunya akte mereka juga palsu,1943210862631879035,,democrazymedia,in,,0,0,0,https://x.com/undefined/status/1943210862631879035,1851263783299325952,
1943174033669001629,Thu Jul 10 07:23:07 +0000 2025,0,@_riverheaven Kok sepertinya sama-sama tak pegang ijazah asli yoo...???,1943209352825016546,,_riverheaven,in,,0,1,0,https://x.com/undefined/status/1943209352825016546,1133003673217294337,
1942955509285527680,Thu Jul 10 07:22:14 +0000 2025,0,@abu_waras Tunjukin aje ijazah nye,1943209131378381115,,abu_waras,in,,0,0,0,https://x.com/undefined/status/1943209131378381115,3361134493,
1943161837723488733,Thu Jul 10 07:21:31 +0000 2025,1,@keuangannews_id @keuangan Karena memang tidak ada ijazah yg aslinya yg ada ijasah palsunya ,1943208948405862644,,keuangannews_id,in,,0,0,0,https://x.com/undefined/status/1943208948405862644,830812251057557505,
1943152480759742855,Thu Jul 10 07:21:25 +0000 2025,0,@tvOneNews Lho-lho... Yg jd konsen publik fotokopian ijazah presiden RI ke-7 banyak kejanggalan. Kok malah dibawa 'cacatnya penyelidikan Bareskrim',1943208925215756580,,tvOneNews,in,,0,0,0,https://x.com/undefined/status/1943208925215756580,4915110912,
1943174841789481084,Thu Jul 10 07:21:04 +0000 2025,0,@PngAdilnR4kyt Kalu ijazah nya palsu... berarti melakukan tindakan pemalsuan dokumen... udah taun kan hukum nya memalsukan dokumen...,1943208835508056267,,PngAdilnR4kyt,in,,0,0,0,https://x.com/undefined/status/1943208835508056267,443040200,
1943208695044935886,Thu Jul 10 07:20:30 +0000 2025,0,Bukannya yang GagaL JOKOWI gak bisa nunjukin ijazah AsLi ? Monyet2 yang mbalikin LOGIKA gara gara makan duit haram JOKOWI BAJINGAN TOLOL CLUB KRONI JOKOSU...,1943208695044935886,,,in,,0,0,0,https://x.com/undefined/status/1943208695044935886,1585193467218911232,
1943173401889378365,Thu Jul 10 07:20:24 +0000 2025,1,@Gendoet3G @Bintu__Baba Awokwokwok abis mau pakek bahasa apalagi atuh. Sampe abis energi ini negara buat ngurusin ijazah yang huruf A-nya mencotot wkwkwk,1943208667605864617,,Gendoet3G,in,,0,1,0,https://x.com/undefined/status/1943208667605864617,77654478,
1943134871016112467,Thu Jul 10 07:20:22 +0000 2025,0,@muhz_za @worksfess Sprtinya begitu ya soalnya wktu HRnya liat mukaku agak kecewa krna tahan ijazah HRnya meyakinkan aku klau dri lvl staff smpai Manager semuanya ditahan ijazahnya,1943208661419200556,,muhz_za,in,,0,1,0,https://x.com/undefined/status/1943208661419200556,1190504783922126848,
1942861777525784954,Thu Jul 10 07:20:12 +0000 2025,0,@detikcom Padahal banyak yg berharap Roy Suryo Cs. masuk penjara dengan di perlihatkannya ijazah yg ASLI keluaran tahun 1985 dari UGM Fakultas Kehutanan,1943208618163085669,,detikcom,in,,0,0,0,https://x.com/undefined/status/1943208618163085669,1558972946471067648,
1942963484532318686,Thu Jul 10 07:19:28 +0000 2025,0,@tham878 Gw ksh info dikit jgnkan ijazah yg dikeluarkan oleh percetakan ijazah yg sdh dikeluarkan oleh sebuah umiversitas/PT pun tdk selamanya benar jk tdk memenuhi proses/prosedur pencapaiannya. Dlm hal ini bgmn org bisa setuju dgn pengakuan UGM sementara kejanggalan2 tsb diabaikan. https://t.co/13FaKUjwdH,1943208435115528387,https://pbs.twimg.com/media/Gvepxd-W8AASOOd.jpg,mssabani71,in,,0,0,0,https://x.com/undefined/status/1943208435115528387,871464338,
1942746176220201258,Thu Jul 10 07:19:14 +0000 2025,0,@abu_waras Suarakan terus kalian yg punya ijazah asli kalian terhormat lulusan UGM. Hati-hati ada yg mengaku tanpa bukti. He was ngedabruz,1943208375388639452,,abu_waras,in,,0,0,0,https://x.com/undefined/status/1943208375388639452,1567732912757559296,
1943169830284333473,Thu Jul 10 07:18:20 +0000 2025,0,@CNNIndonesia Ayo penjarakan rismon cs dengan cara tunjukkin ijazah aslinya begitu termul kalau lu yakin si kurap punya ijazah,1943208147168170311,,CNNIndonesia,in,,0,0,0,https://x.com/undefined/status/1943208147168170311,17586774,
1943208082324230280,Thu Jul 10 07:18:04 +0000 2025,0,Tantangan Yakub Hasibuan soal Ijazah palsu Jokowi. Percaya Roy Suryo atau Puslabfor? https://t.co/85EL74PN9d,1943208082324230280,,,in,,0,1,0,https://x.com/undefined/status/1943208082324230280,141812438,
1943204621255930312,Thu Jul 10 07:17:31 +0000 2025,3,@NetralID62 @DarsAlexandra1 @jokowi @DedynurPalakka @DianSandiU Spek setara nabi pengaslian ijazah dan pencalonan sekjen PBB? indonesia memang tiada lawan! Luarrrr biasa,1943207945355038786,,NetralID62,in,,0,0,0,https://x.com/undefined/status/1943207945355038786,1414368900918104068,
1943207913822261443,Thu Jul 10 07:17:24 +0000 2025,0,Padahal hal yang sangat ditunggu adalah melihat Ijazah asli itu.,1943207913822261443,,,in,,0,0,0,https://x.com/undefined/status/1943207913822261443,1504439172685524993,
1943134871016112467,Thu Jul 10 07:16:57 +0000 2025,0,@worksfess mudah2an dapat opsi ketiga yang gajinya lebih banyak dan gak nahan ijazah,1943207799925936578,,worksfess,in,,0,0,0,https://x.com/undefined/status/1943207799925936578,1088402262,
1943207753511522758,Thu Jul 10 07:16:46 +0000 2025,1,Kl ijazah nya asli mau di cek di Puslabfor polri atau Puslabfor Roy Suryo cs hrs nya lawyer @jokowi tdk keberatan. Kl asli ya asli aja. Ga usah panik dong.,1943207753511522758,,,in,,0,0,0,https://x.com/undefined/status/1943207753511522758,1885848001740247040,
1942905402297094533,Thu Jul 10 07:16:31 +0000 2025,0,@geloraco Sebelum nabi Mulyono dapat menunjukkan Ijazah yg asli publik tetap menuduh nya .,1943207693428363424,,geloraco,in,,0,0,0,https://x.com/undefined/status/1943207693428363424,1610995456464805889,
1943160069581164787,Thu Jul 10 07:16:19 +0000 2025,0,@PoltakSitinja18 @MSafei1968 @DokterTifa Yang jelas² disangsikan itu ijazah junjunganmu...,1943207640794017956,,PoltakSitinja18,in,,0,0,0,https://x.com/undefined/status/1943207640794017956,175752346,
1943207582728098232,Thu Jul 10 07:16:05 +0000 2025,1,Mengapa tidak ada satupun partai politik di Indonesia berani menggugat keabsahan ijazah Jokowi? Apakah karena mereka yakin ijazah itu asli atau justru karena mereka (para elite) menyimpan aib masing-masing?,1943207582728098232,,,in,,0,0,0,https://x.com/undefined/status/1943207582728098232,1289753917950013441,
1943207311431872728,Thu Jul 10 07:15:00 +0000 2025,8,Terungkap! Motif Ijazah Jokowi Dibuat Gagah &amp; Keren Ada Sosok Yang 'Dirahasiakan' Roy Suryo https://t.co/gJyZdceDNN,1943207311431872728,,,in,,0,0,3,https://x.com/undefined/status/1943207311431872728,1243804423001763841,
1943207297175409014,Thu Jul 10 07:14:57 +0000 2025,6,Most of these books need to be studied under a Sheikh if you download them go and find a sheikh who's teaching them and I have ijazah for this book from sheikh al Qaryooti ( one of the senior students of Sheikh Albani] If you need my notes that I took from the sheikh DM me https://t.co/UZ2JhvcSdn,1943207297175409014,https://pbs.twimg.com/media/GveovJYWsAAfwf2.jpg,,en,,0,1,3,https://x.com/undefined/status/1943207297175409014,2751897556,
1942924478805348510,Thu Jul 10 07:14:42 +0000 2025,1,@MariaAlkaff_ @abu_waras jiazah nya MENCHOTOT kak aduuuh... bakal lebih mati²an lagi membela sang pemilik ijazah MENCHOTOT ,1943207234869301600,,MariaAlkaff_,in,,0,1,0,https://x.com/undefined/status/1943207234869301600,1414578748335136771,
